"compound_name","Order","title","species","T/F/UC"
"Galanthamine","Asparagales","9 Studies on galanthamine extraction from Narcissus and other Amaryllidaceae","Galanthus woronowii","T"
"Galanthamine","Asparagales","HPLC Determination of Galanthamine and Related Alkaloids in Nivalin.","Leucojum aestivum","T"
"Galanthamine","Asparagales","Galanthamine production in tissue culture and metabolomic study on Amaryllidaceae alkaloids in Narcissus pseudonarcissus cv. Carlton","Narcissus pseudonarcissus","T"
"Tyrosol","Saxifragales","Introduction of Wild Golden Root (Rhodiola rosea L.) As A Potential Economic Crop in Bulgaria","Rhodiola rosea L","T"
"Tyrosol","Saxifragales","Salidroside and tyrosol from Rhodiola protect H9c2 cells from ischemia/reperfusion-induced apoptosis","Rhodiola crenulata","T"
"Tyrosol","Saxifragales","[Salidroside Biosynthesis Pathway: The Initial Reaction and Glycosylation of Tyrosol]","Rhodiola sachalinensis A. Bor","T"
"Tyrosol","Saxifragales","A Novel UDP-Glycosyltransferase of Rhodiola crenulata Converts Tyrosol to Specifically Produce Icariside D2","Rhodiola crenulata","T"
"Tyrosol","Myrtales","Medium‐chain alkyl esters of tyrosol and hydroxytyrosol antioxidants by cuphea oil transesterification","Cuphea Viscosissima × C. lanceolata","T"
"Tyrosol","Lamiales","Polyglucosidic Metabolites of Oleaceae. The Chain Sequence of Oleoside Aglucon, Tyrosol, and Glucose Units in Three Metabolites from Fraxinus americana","Fraxinus americana","T"
"Tyrosol","Saxifragales","Determination of salidroside and tyrosol in Rhodiola by capillary electrophoresis with graphene/poly(urea‐formaldehyde) composite modified electrode","Rhodiola rosea","T"
"Tyrosol","Fabiales","Metabolites from Endophytes of the Medicinal Plant Erythrina crista-galli","Erythrina crista-galli","T"
"Tyrosol","Lamiales","Hydroxytyrosol and Tyrosol as the Main Compounds Found in the Phenolic Fraction of Steam-Exploded Olive Stones","Olea europaea","T"
"Tyrosol","Saxifragales","A tyrosine decarboxylase catalyzes the initial reaction of the salidroside biosynthesis pathway in Rhodiola sachalinensis","Rhodiola sachalinensis","T"
"Tyrosol","Saxifragales","Determination the Contents of Salidroside and Tyrosol in Rhodiola crenulata from Qinghai","Rhodiola crenulata","T"
"Tyrosol","Saxifragales","Activity of tyrosol glucosyltransferase in Rhodiola kirilowii transgenic root cultures","Rhodiola kirilowii","T"
"Galanthamine","Asparagales","Galanthamine biosynthesis in plant in vitro systems","Leucojum aestivum","T"
"Galanthamine","Asparagales","Analysis of selected Crinum species for galanthamine alkaloid: an anti-Alzheimer drug","Crinum malabaricum","T"
"Galanthamine","Asparagales","Separation of Galanthamine from Amaryllidaceae Family and the Application in Medicine","Lycoris radiata","T"
"Galanthamine","Asparagales","Process for the isolation of galanthamine","Leucojum aestivum","T"
"Galanthamine","Asparagales","Isolation and identification of a galanthamine-producing endophytic fungus from Lycoris aureabulbs","Lycoris Aurea","T"
"Galanthamine","Asparagales","Enzyme-assisted Extraction and Enrichment of Galanthamine from Lycoris aurea","Lycoris aurea","T"
"Galanthamine","Asparagales","Cloning and Characterization of a Norbelladine 49-O-Methyltransferase Involved in the Biosynthesis of the Alzheimer’s Drug Galanthamine in Narcissus sp. aff. pseudonarcissus","Narcissus pseudonarcissus","T"
"Galanthamine","Asparagales","Determination of galanthamine from different parts of Lycoris aurea herb with HPLC","Lycoris aurea","T"
"Galanthamine","Asparagales","Incorporating daffodil-derived galanthamine production into upland grassland systems","Narcissus spp.","T"
"Galanthamine","Asparagales","In vitro production of alkaloids: Factors, approaches, challenges and prospects","Leucojum aestivum","T"
"Galanthamine","Asparagales","Towards a Molecular Understanding of the Biosynthesis of Amaryllidaceae Alkaloids in Support of Their Expanding Medical Use","Narcissus pseudonarcissus","T"
"Galanthamine","Asparagales","Acetylcholinesterase inhibitory activity of some Amaryllidaceae alkaloids and Narcissus extracts","Narcissus bujei","T"
"Galanthamine","Asparagales","A Rapid Quantitative Method for the Analysis of Galanthamine and Other Amaryllidaceae Alkaloids by Capillary Column Gas Chromatography","Narcissus cv. Inglesombe","T"
"Galanthamine","Asparagales","Galanthamine","Lyrcoris radiata","T"
"Galanthamine","Asparagales","Alkaloidal Constituents of the Flowers of Lycoris radiata HERB. : Amaryllidaceae","Lycoris radiata","T"
"Galanthamine","Asparagales","Analysis of Amaryllidaceae alkaloids from Zephyranthes grandiflora by GC/MS and their cholinesterase activity","Zephyranthes grandiflora","T"
"Galanthamine","Asparagales","Alkaloidal Constituents of Hymenocallis rotata HERB. (Amaryllidaceae)","Hymenocallis rotata","T"
"Galanthamine","Asparagales","Quantitative Determination of Galanthamine and Lycorine in Galanthus elwesii by HPLC-DAD","Galanthus elwesii","T"
"Gomphrenin-I","Caryophyllales","Characterization of major betalain pigments -gomphrenin, betanin and isobetanin from Basella rubra L. fruit and evaluation of efficacy as a natural colourant in product (ice cream) development","Basella rubra","T"
"Gomphrenin-I","Caryophyllales","NMR-based elucidation of the positional C6-O-Glucopyranosyl substitution of Gomphrenin I isolated from Basella alba fruits","Basella alba","T"
"Gomphrenin-I","Caryophyllales","Partial purification and characterization of UDP-glucose: betanidin 5-O- and 6-O-glucosyltransferases from cell suspension cultures of Dorotheanthus bellidiformis (Burm. f.) N.E.Br.","Dorotheanthus bellidiformis","T"
"Gomphrenin-I","Caryophyllales","HPLC Characterization of Betalains from Plants in the Amaranthaceae","Gomphrena globosa","T"
"Gomphrenin-I","Caryophyllales","Identification and Quantification of Betalains from the Fruits of 10 Mexican Prickly Pear Cultivars by High-Performance Liquid Chromatography and Electrospray Ionization Mass Spectrometry","Opuntia spp.","T"
"Gomphrenin-I","Caryophyllales","Betalains in Red and Yellow Varieties of the Andean Tuber Crop Ulluco (Ullucus tuberosus)","Ullucus tuberosus","T"
"Isoandrocymbine","Liliales","The biosynthesis of plant alkaloids and nitrogenous microbial metabolites","Colchicum autumnale","T"
"Betaxanthins","Caryophyllales","Secondary metabolism in cultured red beet (Beta vulgaris L.) cells: Differential regulation of betaxanthin and betacyanin biosynthesis","Beta vulgaris L.","T"
"Betaxanthins","Caryophyllales","Characterization and application of betalain pigments from plants of the Amaranthaceae","Celosia cristata/plumosa","T"
"Betaxanthins","Caryophyllales","Chemical Stability and Colorant Properties of Betaxanthin Pigments from Celosia argentea","Celosia argentea","T"
"Betanin","Caryophyllales","Antioxidant Activities of Sicillian Prickly Pear (Opuntia ficus indica) Fruit Extracts and Reducing Properties of Its Betalains:  Betanin and Indicaxanthin","Opuntia ficus-indica","T"
"Betanin","Caryophyllales","Betanin, the main pigment of red beet: Molecular origin of its exceptionally high free radical-scavenging activity","Beta vulgaris","T"
"Betanin","Caryophyllales","Betanin, isolated from fruits of Opuntia elatior Mill attenuates renal fibrosis in diabetic rats through regulating oxidative stress and TGF-β pathway","Opuntia elatior","T"
"Betanin","Caryophyllales","Characterization of major betalain pigments -gomphrenin, betanin and isobetanin from Basella rubra L. fruit and evaluation of efficacy as a natural colourant in product (ice cream) development","Basella rubra","T"
"Betanin","Caryophyllales","Isotope ratio mass spectrometrical analysis of betanin and isobetanin isolates for authenticity evaluation of purple pitaya-based products","Hylocereus polyrhizus","T"
"Betanin","Caryophyllales","PURIFICATION OF PHYTOLACCANIN (BETANIN ) BY REMOVAL OF PHYTOLACCATOXIN FROM Phytolacca Americana","Phytolacca americana","T"
"Betanin","Caryophyllales","Natural betanin dye extracted from bougainvillea flowers for the naked-eye detection of copper ions in water samples","Bougainvillea *did not specify species","T"
"Betanin","Caryophyllales","Betalain extraction from Hylocereus polyrhizus for natural food coloring purposes","Hylocereus polyrhizus","T"
"Betanin","Caryophyllales","Researches on the Utilisation of the Pigment from Phytolacca decandra L. as a Food Colorant: Part 1 Preparation of an Extract Free from Toxic Substances","Phytolacca decandra","T"
"Betanin","Caryophyllales","Characterisation of phenolics, betanins and antioxidant activities in seeds of three Chenopodium quinoa Willd. genotypes","Chenopodium quinoa","T"
"Gomphrenin-I","Caryophyllales","Pigments of centrospermae—VII. : Betacyanins from Gomphrena globosa L","Gomphrena globosa","T"
"Gomphrenin-I","Caryophyllales","Betacyanins from fruits of Basella rubra","Basella rubra","T"
"Gomphrenin-I","Caryophyllales","Betalains and phenolic compounds profiling and antioxidant capacity of pitaya (Stenocereus spp.) fruit from two species (S. Pruinosus and S. stellatus)","Stenocereus pruinosus","T"
"Gomphrenin-I","Caryophyllales","Betalains and phenolic compounds profiling and antioxidant capacity of pitaya (Stenocereus spp.) fruit from two species (S. Pruinosus and S. stellatus)","Stenocereus stellatus","T"
"Gomphrenin-I","Caryophyllales","Chromatographic fractionation of betacyanins from flowers of Gomphrena globosa","Gomphrena globosa","T"
"Gomphrenin-I","Caryophyllales","Rapid Identification of Betacyanins from Amaranthus tricolor, Gomphrena globosa, and Hylocereus polyrhizus by Matrix-Assisted Laser Desorption/Ionization Quadrupole Ion Trap Time-of-Flight Mass Spectrometry (MALDI-QIT-TOF MS)","Gomphrena globosa","T"
"Gomphrenin-I","Caryophyllales","Recent advances in betalain research","Phytolacca americana","T"
"Gomphrenin-I","Caryophyllales","Recent advances in betalain research","Gomphrena globosa","T"
"Gomphrenin-I","Caryophyllales","Recent advances in betalain research","Basella rubra","T"
"Gomphrenin-I","Caryophyllales","Separation of betalains from berries of Phytolacca americana by ion-pair high-speed counter-current chromatography","Phytolacca americana","T"
"Gomphrenin-I","Caryophyllales","Betalain Profile, Phenolic Content, and Color Characterization of Different Parts and Varieties of Opuntia ficus-indica","Opuntia ficus-indica","T"
"Taxiphyllin","Poales","Cyanogenesis of Dendrocalamus: Taxiphyllin","Dendrocalamus hamiltonii","T"
"Taxiphyllin","Pinales","THE ABSOLUTE CONFIGURATIONS OF THE PHENOLIC CYANOGENETIC GLUCOSIDES TAXIPHY LLIN AND DHURRIN","Taxus canadensis","T"
"Taxiphyllin","Myrtales","Taxiphyllin from Henriettella fasci­cularis","Henriettella fascicularis","T"
"Hordenine","Poales","BIOSYNTHESIS OF HORDENINE IN TISSUE HOMOGENATES OF PANICUM MILIACEUM L","Panicum miliaceum","T"
"Hordenine","Poales","Separation of Two Distinct S-Adenosylmethionine Dependent N-Methyltransferases Involved in Hordenine Biosynthesis in Hordeum vulgate","Hordeum vulgare","T"
"Hordenine","Sapindales","Biosynthesis of synephrine in citrus","Citrus reshni","T"
"Hordenine","Gentianales","HORDENINE FROM STAPELIA GIGANTEA","Stapelia gigantea","T"
"Hordenine","Poales","The accumulation of hordenine in the seedlings of Panicum miliaceum","Panicum miliaceum","T"
"Hordenine","Poales","Biologically active secondary metabolites of barley. III. A method for identification and quantification of hordenine and gramine in barley by high-performance liquid chromatography","Hordeum vulgare","T"
"Hordenine","Poales","THE BIOGENESIS OF ALKALOIDS: VI. THE FORMATION OF HORDENINE AND N-Methyltyramine FROM TYRAMINE IN BARLEY","Hordeum vulgare","T"
