model,gpt_says,compound,species,manual_inspection_says,index,text_type,iteration,gpt_interpretation,judgement,status,category
gpt-3.5-turbo-0613,Yes,Lycorine,Galanthus_woronowii,TRUE,229,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Rosmarinus_officinalis,FALSE,232,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,No,Galanthamine,Marrubium_alysson,FALSE,233,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Betanin,Opuntia_dillenii,TRUE,238,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Salidroside,Marrubium_thessalum,TRUE,241,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Salidroside,Osmanthus_fragrans,TRUE,243,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Mentha_piperita,TRUE,244,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Pogostemon_cablin,TRUE,246,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Cotinus_coggygria,TRUE,247,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Mescaline,Lophophora_williamsii,TRUE,254,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Lycorine,Narcissus_jonquilla,TRUE,259,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Stevia_rebaudiana,TRUE,260,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,yes,Salidroside,Rhodiola_crenulata,TRUE,266,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Betanin,Rhipsalis_rhombea,TRUE,268,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Symphytum_officinale,TRUE,270,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,TRUE,271,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,no,Lycorine,Crinum_asiaticum,FALSE,273,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Betanin,Hylocereus_undatus,TRUE,280,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,TRUE,282,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Salidroside,Bauhinia_blakeana,FALSE,291,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Salvia_miltiorrhiza,TRUE,292,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Betanin,Prunus_cerasus,FALSE,296,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,no,Lycorine,Galanthus_elwesii,TRUE,297,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Rosa_rubiginosa,TRUE,300,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,no,Rosmarinate,Perilla_frutescens,TRUE,301,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Rosmarinus_officinalis,TRUE,303,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,feruloyltyramine,Tinospora_crispa,FALSE,304,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Salidroside,Rhodiola_crenulata,FALSE,305,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_plebeia,FALSE,307,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Galanthamine,Lycoris_radiata,TRUE,310,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Lycorine,Pancratium_maritimum,TRUE,312,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Echium_vulgare,TRUE,318,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Perovskia_atriplicifolia,TRUE,319,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Betanin,Iresine_lindenii,TRUE,321,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Salidroside,Panax_ginseng,FALSE,325,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Galanthamine,Lycoris_radiata,TRUE,327,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Betanin,Mesembryanthemum_crystallinum,TRUE,331,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Dhurrin,Sorghum_bicolor,FALSE,336,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Melissa_officinalis,TRUE,337,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Satureja_hortensis,TRUE,338,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Demecolcine,Androcymbium_palaestinum,TRUE,353,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Schisandra_chinensis,TRUE,356,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,yes,Betanin,Opuntia_stricta,TRUE,358,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Ornithogalum_umbellatum,TRUE,361,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Betanin,Opuntia_dillenii,TRUE,365,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Dhurrin,Polyscias_australiana,TRUE,366,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Dhurrin,Zea_mays,FALSE,368,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Ocimum_basilicum,TRUE,372,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Betanin,Basella_alba,FALSE,374,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Thymus_pulegioides,TRUE,376,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Thymus_vulgaris,TRUE,377,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,yes,Homogentisate,Capsicum_annuum,FALSE,378,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,No,Homogentisate,Limonium_sinuatum,TRUE,380,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Homogentisate,Jatropha_integerrima,TRUE,382,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Haemanthamine,Pancratium_sickenbergeri,TRUE,389,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Homogentisate,Entada_phaseoloides,TRUE,391,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,no,Tyrosol,Sinningia_aggregata,TRUE,392,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Lycorine,Zephyranthes_candida,TRUE,393,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Salidroside,Rhodiola_kirilowii,TRUE,394,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Leptocarpha_rivularis,TRUE,396,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Lycorine,Pancratium_maritimum,FALSE,397,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,No,Lycorine,Habranthus_jamesonii,TRUE,409,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Ocimum_basilicum,TRUE,413,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Melissa_officinalis,TRUE,414,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Ocimum_basilicum,FALSE,419,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Salvia_tomentosa,TRUE,421,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Sideritis_albiflora,TRUE,422,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Origanum_dictamnus,TRUE,427,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Salidroside,Cistanche_deserticola,TRUE,430,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_officinalis,TRUE,432,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Thymus_vulgaris,TRUE,433,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,no,Rosmarinate,Perilla_frutescens,TRUE,438,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Curcuma_longa,FALSE,445,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Rosmarinus_officinalis,TRUE,446,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Ocimum_gratissimum,TRUE,447,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Thymus_zygis,TRUE,453,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,TRUE,454,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Cornus_kousa,TRUE,455,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Chloranthus_multistachys,TRUE,459,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Tyrosol,Eleutherococcus_senticosus,FALSE,460,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Tyrosol,Schisandra_chinensis,FALSE,462,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Lavandula_angustifolia,TRUE,463,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Hypericum_perforatum,TRUE,467,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Tyrosol,Osmanthus_fragrans,FALSE,470,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Lycopus_lucidus,TRUE,483,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Galanthamine,Narcissus_confusus,TRUE,485,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Hymenocrater_longiflorus,TRUE,488,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Tyrosol,Iris_germanica,FALSE,492,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Tyrosol,Allium_cepa,FALSE,493,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Rosmarinus_officinalis,TRUE,496,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Rosmarinus_officinalis,TRUE,499,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,no,Galanthamine,Galanthus_nivalis,TRUE,500,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Galanthamine,Leucojum_aestivum,TRUE,507,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Anchusa_azurea,TRUE,511,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Galanthamine,Zygophyllum_eurypterum,FALSE,512,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Tyrosol,Olea_europaea,TRUE,520,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Salvia_miltiorrhiza,TRUE,524,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Galanthamine,Narcissus_confusus,TRUE,525,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,FALSE,526,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Galanthamine,Cyperus_rotundus,FALSE,528,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,TRUE,529,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Salidroside,Cistanche_deserticola,TRUE,532,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Tyrosol,Ligustrum_delavayanum,FALSE,535,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Sideritis_congesta,TRUE,537,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Inula_helenium,TRUE,539,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Arctium_lappa,TRUE,540,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Artemisia_absinthium,TRUE,541,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Lippia_origanoides,FALSE,545,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Lippia_graveolens,FALSE,548,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Tyrosol,Distylium_racemosum,TRUE,550,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Salvia_miltiorrhiza,FALSE,552,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,FALSE,557,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Agastache_rugosa,FALSE,559,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,TRUE,564,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Marrubium_vulgare,FALSE,566,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Thymus_maroccanus,TRUE,568,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Crotalaria_saharae,FALSE,569,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Salidroside,Rhodiola_heterodonta,TRUE,577,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Ocimum_basilicum,TRUE,578,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Salidroside,Rhodiola_crenulata,TRUE,580,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Melissa_officinalis,TRUE,583,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Lycopus_lucidus,TRUE,588,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Salidroside,Gaultheria_procumbens,TRUE,590,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Salidroside,Helleborus_foetidus,FALSE,596,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Dracocephalum_moldavica,TRUE,601,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Plectranthus_barbatus,TRUE,602,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Origanum_vulgare,TRUE,604,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Portulaca_oleracea,TRUE,605,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Rosmarinus_officinalis,TRUE,606,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Litchi_chinensis,TRUE,608,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Centella_asiatica,TRUE,612,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Sarcandra_glabra,TRUE,614,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Sarcandra_glabra,TRUE,619,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Salidroside,Globularia_vulgaris,FALSE,620,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,Yes,Galanthamine,Leucojum_aestivum,TRUE,624,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Tyrosol,Echinacea_purpurea,FALSE,625,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,yes,Rosmarinate,Salvia_limbata,TRUE,627,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Rubia_tinctorum,TRUE,630,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Origanum_vulgare,TRUE,634,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,TRUE,635,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Salvia_officinalis,TRUE,636,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Galanthamine,Leucojum_aestivum,FALSE,643,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,No,Tyrosol,Aristolochia_melastoma,TRUE,647,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,TRUE,649,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Thymus_serpyllum,TRUE,652,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Origanum_vulgare,TRUE,654,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Ocimum_gratissimum,TRUE,658,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Salidroside,Alnus_incana,TRUE,659,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Origanum_vulgare,TRUE,665,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Tyrosol,Pistacia_lentiscus,FALSE,666,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Tyrosol,NA,TRUE,673,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Prunella_vulgaris,FALSE,679,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Satureja_hortensis,TRUE,680,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Rosmarinus_officinalis,TRUE,683,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Galanthamine,Habranthus_jamesonii,TRUE,684,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Galanthamine,Zephyranthes_filifolia,TRUE,686,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,yes,Salidroside,Rhodiola_crenulata,FALSE,690,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,FALSE,691,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_sahendica,TRUE,693,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Rosmarinus_officinalis,TRUE,695,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_przewalskii,TRUE,698,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Artemisia_annua,TRUE,701,abstract,1,N,false_negative,false,negative
